GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	A0A0H2UKM1	c2cd5	GO:0010828	positive regulation of glucose transmembrane transport	P
UniProtKB	A0A0H2UKU6	fam168a	GO:1905053	positive regulation of base-excision repair	P
UniProtKB	A0A0H2UKU7	c2cd5	GO:0010828	positive regulation of glucose transmembrane transport	P
UniProtKB	A0A0H2UKW4	fam168a	GO:1905053	positive regulation of base-excision repair	P
UniProtKB	A0A0H2UKX4	prkn	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0J9YIY4	zgc:162608	GO:0046889	positive regulation of lipid biosynthetic process	P
UniProtKB	A0A0J9YIY4	zgc:162608	GO:0010873	positive regulation of cholesterol esterification	P
UniProtKB	A0A0J9YIY6	fbxo44.5	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	A0A0J9YIY6	fbxo44.5	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0J9YJ23	rap1ab	GO:2000301	negative regulation of synaptic vesicle exocytosis	P
UniProtKB	A0A0J9YJ34	hmgcs1	GO:0014033	neural crest cell differentiation	P
UniProtKB	A0A0J9YJ42	terf2ip	GO:0000723	telomere maintenance	P
UniProtKB	A0A0J9YJ42	terf2ip	GO:0010833	telomere maintenance via telomere lengthening	P
UniProtKB	A0A0J9YJ45	timm23b	GO:0030150	protein import into mitochondrial matrix	P
UniProtKB	A0A0J9YJ60	timm23b	GO:0030150	protein import into mitochondrial matrix	P
UniProtKB	A0A0J9YJ67	bif1.1	GO:0060218	hematopoietic stem cell differentiation	P
UniProtKB	A0A0J9YJ73	scg5	GO:0046883	regulation of hormone secretion	P
UniProtKB	A0A0J9YJB2	asb2b	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0J9YJC1	tomm7	GO:0030150	protein import into mitochondrial matrix	P
UniProtKB	A0A0K2SUZ0	masp1	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0K2SUZ0	masp1	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0K2SUZ0	masp1	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0K2SV02	masp1	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0K2SV02	masp1	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0K2SV02	masp1	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0M3KL72	A0A0M3KL72	GO:0045739	positive regulation of DNA repair	P
UniProtKB	A0A0N4STS4	ubb	GO:0019941	modification-dependent protein catabolic process	P
UniProtKB	A0A0N4STU9	si:dkey-31e10.1	GO:0150079	negative regulation of neuroinflammatory response	P
UniProtKB	A0A0N4STV5	si:dkey-27d5.10	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0N4STZ9	si:dkey-23f9.11	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0N4SU28	si:dkey-23f9.8	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0N4SUD2	ubb	GO:0019941	modification-dependent protein catabolic process	P
UniProtKB	A0A0N5E8A0	rubcn	GO:0043553	negative regulation of phosphatidylinositol 3-kinase activity	P
UniProtKB	A0A0N5E8A0	rubcn	GO:1901097	negative regulation of autophagosome maturation	P
UniProtKB	A0A0P0UQI8	kdm1a	GO:1900052	regulation of retinoic acid biosynthetic process	P
UniProtKB	A0A0R4I9I9	paqr7a	GO:0003707	nuclear steroid receptor activity	F
UniProtKB	A0A0R4I9I9	paqr7a	GO:0043401	steroid hormone mediated signaling pathway	P
UniProtKB	A0A0R4I9J6	rgs2	GO:0014032	neural crest cell development	P
UniProtKB	A0A0R4I9P3	tm6sf2a	GO:0019216	regulation of lipid metabolic process	P
UniProtKB	A0A0R4I9Q1	pcyox1	GO:0030327	prenylated protein catabolic process	P
UniProtKB	A0A0R4I9R5	rnf34a	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4I9V4	polr1a	GO:0014032	neural crest cell development	P
UniProtKB	A0A0R4I9Y1	rnf213b	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4I9Y1	rnf213b	GO:0098792	xenophagy	P
UniProtKB	A0A0R4I9Y1	rnf213b	GO:0019216	regulation of lipid metabolic process	P
UniProtKB	A0A0R4IA11	asb2b	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IA41	eya4	GO:0045739	positive regulation of DNA repair	P
UniProtKB	A0A0R4IAF7	metrnla	GO:0050728	negative regulation of inflammatory response	P
UniProtKB	A0A0R4IAG8	abhd5b	GO:0010891	negative regulation of sequestering of triglyceride	P
UniProtKB	A0A0R4IAG8	abhd5b	GO:0010898	positive regulation of triglyceride catabolic process	P
UniProtKB	A0A0R4IAH0	hdac4	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0R4IAH0	hdac4	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0R4IAH0	hdac4	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0R4IAI4	rptor	GO:0009267	cellular response to starvation	P
UniProtKB	A0A0R4IAI4	rptor	GO:0010506	regulation of autophagy	P
UniProtKB	A0A0R4IAK2	vps28	GO:0043328	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	P
UniProtKB	A0A0R4IAN1	pkma	GO:0032869	cellular response to insulin stimulus	P
UniProtKB	A0A0R4IAP0	edem2	GO:1904382	mannose trimming involved in glycoprotein ERAD pathway	P
UniProtKB	A0A0R4IAP0	edem2	GO:1904382	mannose trimming involved in glycoprotein ERAD pathway	P
UniProtKB	A0A0R4IAR9	zgc:174353	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IAU6	dcaf11	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IAU7	zgc:174355	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IAV3	pkma	GO:0032869	cellular response to insulin stimulus	P
UniProtKB	A0A0R4IAY2	dnajb14	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	A0A0R4IB00	mmp17b	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0R4IB00	mmp17b	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0R4IB13	xrcc5	GO:0006303	double-strand break repair via nonhomologous end joining	P
UniProtKB	A0A0R4IB13	xrcc5	GO:0000723	telomere maintenance	P
UniProtKB	A0A0R4IB13	xrcc5	GO:0000723	telomere maintenance	P
UniProtKB	A0A0R4IB13	xrcc5	GO:0006303	double-strand break repair via nonhomologous end joining	P
UniProtKB	A0A0R4IB13	xrcc5	GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	P
UniProtKB	A0A0R4IB93	usp48	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IBB9	anapc5	GO:0031145	anaphase-promoting complex-dependent catabolic process	P
UniProtKB	A0A0R4IBD8	itchb	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IBD8	itchb	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IBH3	ankrd55	GO:0042593	glucose homeostasis	P
UniProtKB	A0A0R4IBK5	rnf213a	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IBK5	rnf213a	GO:0098792	xenophagy	P
UniProtKB	A0A0R4IBK5	rnf213a	GO:0019216	regulation of lipid metabolic process	P
UniProtKB	A0A0R4IBM0	nrg1	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0R4IBP3	os9	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	A0A0R4IBP3	os9	GO:0030970	retrograde protein transport, ER to cytosol	P
UniProtKB	A0A0R4IBP3	os9	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	A0A0R4IBP3	os9	GO:0030968	endoplasmic reticulum unfolded protein response	P
UniProtKB	A0A0R4IBS8	snx7	GO:0061709	reticulophagy	P
UniProtKB	A0A0R4IBS8	snx7	GO:2000786	positive regulation of autophagosome assembly	P
UniProtKB	A0A0R4IBU7	rnf6	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IBW0	cyp24a1	GO:0033280	response to vitamin D	P
UniProtKB	A0A0R4IBY0	atg16l1	GO:0000045	autophagosome assembly	P
UniProtKB	A0A0R4IBY0	atg16l1	GO:0000045	autophagosome assembly	P
UniProtKB	A0A0R4IC19	pak1	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0R4IC41	nr4a1	GO:0071376	cellular response to corticotropin-releasing hormone stimulus	P
UniProtKB	A0A0R4IC95	rraga	GO:0009267	cellular response to starvation	P
UniProtKB	A0A0R4IC95	rraga	GO:0010506	regulation of autophagy	P
UniProtKB	A0A0R4ICD6	anxa1c	GO:0046883	regulation of hormone secretion	P
UniProtKB	A0A0R4ICD6	anxa1c	GO:0031394	positive regulation of prostaglandin biosynthetic process	P
UniProtKB	A0A0R4ICG6	si:ch211-188f17.1	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4ICH2	brcc3	GO:0045739	positive regulation of DNA repair	P
UniProtKB	A0A0R4ICJ8	nr3c2	GO:0030518	intracellular steroid hormone receptor signaling pathway	P
UniProtKB	A0A0R4ICJ8	nr3c2	GO:0003707	nuclear steroid receptor activity	F
UniProtKB	A0A0R4ICU5	jak2b	GO:0060397	growth hormone receptor signaling pathway via JAK-STAT	P
UniProtKB	A0A0R4ID11	fbxo44.8	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	A0A0R4ID11	fbxo44.8	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4ID61	snx7	GO:0061709	reticulophagy	P
UniProtKB	A0A0R4ID61	snx7	GO:2000786	positive regulation of autophagosome assembly	P
UniProtKB	A0A0R4ID69	sstr5	GO:0050796	regulation of insulin secretion	P
UniProtKB	A0A0R4ID81	rab11fip2	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0R4ID81	rab11fip2	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0R4ID87	usp48	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4ID96	si:ch211-188f17.1	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IDE5	abhd5b	GO:0010891	negative regulation of sequestering of triglyceride	P
UniProtKB	A0A0R4IDE5	abhd5b	GO:0010898	positive regulation of triglyceride catabolic process	P
UniProtKB	A0A0R4IDE6	nedd4a	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IDG7	trak2	GO:0098957	anterograde axonal transport of mitochondrion	P
UniProtKB	A0A0R4IDP7	nrg1	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0R4IDU1	svip	GO:0010508	positive regulation of autophagy	P
UniProtKB	A0A0R4IDW5	sema4ba	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0R4IDY9	hdac1	GO:0060218	hematopoietic stem cell differentiation	P
UniProtKB	A0A0R4IDZ8	tln1	GO:0014033	neural crest cell differentiation	P
UniProtKB	A0A0R4IE18	ulk3	GO:1905037	autophagosome organization	P
UniProtKB	A0A0R4IE39	zgc:174354	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IE49	si:dkey-23n7.10	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IE50	dgke	GO:0046339	diacylglycerol metabolic process	P
UniProtKB	A0A0R4IE94	rimbp2a	GO:0007274	neuromuscular synaptic transmission	P
UniProtKB	A0A0R4IER2	brcc3	GO:0045739	positive regulation of DNA repair	P
UniProtKB	A0A0R4IES4	si:ch211-117n7.7	GO:0052651	monoacylglycerol catabolic process	P
UniProtKB	A0A0R4IEU4	erc1a	GO:0007274	neuromuscular synaptic transmission	P
UniProtKB	A0A0R4IEX3	sergef	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IFC0	glrx2	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0R4IFC0	glrx2	GO:0003147	neural crest cell migration involved in heart formation	P
UniProtKB	A0A0R4IFC8	csf3b	GO:0060218	hematopoietic stem cell differentiation	P
UniProtKB	A0A0R4IFC8	csf3b	GO:0071425	hematopoietic stem cell proliferation	P
UniProtKB	A0A0R4IFD5	si:ch73-281f12.4	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0R4IFE1	cdc20	GO:0031145	anaphase-promoting complex-dependent catabolic process	P
UniProtKB	A0A0R4IFE2	psmc1a	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IFE6	nrg1	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0R4IFH4	ube2a	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IFH5	hmgcrb	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0R4IFH5	hmgcrb	GO:0014032	neural crest cell development	P
UniProtKB	A0A0R4IFI0	rptor	GO:0009267	cellular response to starvation	P
UniProtKB	A0A0R4IFI0	rptor	GO:0010506	regulation of autophagy	P
UniProtKB	A0A0R4IFL5	A0A0R4IFL5	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IFM6	slc30a8	GO:0009749	response to glucose	P
UniProtKB	A0A0R4IFM6	slc30a8	GO:0042593	glucose homeostasis	P
UniProtKB	A0A0R4IFN9	cacna1ab	GO:0007274	neuromuscular synaptic transmission	P
UniProtKB	A0A0R4IFN9	cacna1ab	GO:0007274	neuromuscular synaptic transmission	P
UniProtKB	A0A0R4IFP3	ecpas	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	A0A0R4IFR5	mtmr3	GO:0010506	regulation of autophagy	P
UniProtKB	A0A0R4IFS3	rimbp2a	GO:0007274	neuromuscular synaptic transmission	P
UniProtKB	A0A0R4IFT8	usp47	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IFV4	erc2	GO:0007274	neuromuscular synaptic transmission	P
UniProtKB	A0A0R4IFW4	fbxo7	GO:1903599	positive regulation of autophagy of mitochondrion	P
UniProtKB	A0A0R4IGF2	stat3	GO:0060397	growth hormone receptor signaling pathway via JAK-STAT	P
UniProtKB	A0A0R4IGH0	rnf130	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IGI6	ntan1	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IGK9	cat	GO:0042744	hydrogen peroxide catabolic process	P
UniProtKB	A0A0R4IGK9	cat	GO:0042744	hydrogen peroxide catabolic process	P
UniProtKB	A0A0R4IGL6	hectd1	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IGL6	hectd1	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IGP2	igf1ra	GO:0005009	insulin receptor activity	F
UniProtKB	A0A0R4IGP2	igf1ra	GO:0042593	glucose homeostasis	P
UniProtKB	A0A0R4IGP2	igf1ra	GO:0008286	insulin receptor signaling pathway	P
UniProtKB	A0A0R4IGP6	pkma	GO:0032869	cellular response to insulin stimulus	P
UniProtKB	A0A0R4IGP7	cul5b	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IGP7	cul5b	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IGX0	rhot1b	GO:0047497	mitochondrion transport along microtubule	P
UniProtKB	A0A0R4IGY4	erc2	GO:0007274	neuromuscular synaptic transmission	P
UniProtKB	A0A0R4IGZ9	il12rb1	GO:0060396	growth hormone receptor signaling pathway	P
UniProtKB	A0A0R4IH73	pak1	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0R4IH79	lonp1	GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	P
UniProtKB	A0A0R4IH79	lonp1	GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	P
UniProtKB	A0A0R4IH79	lonp1	GO:0070407	oxidation-dependent protein catabolic process	P
UniProtKB	A0A0R4IH79	lonp1	GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	P
UniProtKB	A0A0R4IHR4	rnf130	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IHR6	wrn	GO:0010259	multicellular organism aging	P
UniProtKB	A0A0R4IHR6	wrn	GO:0000723	telomere maintenance	P
UniProtKB	A0A0R4IHV1	pkmb	GO:0032869	cellular response to insulin stimulus	P
UniProtKB	A0A0R4IHW2	slf1	GO:2000781	positive regulation of double-strand break repair	P
UniProtKB	A0A0R4IHZ8	ccs	GO:0019430	removal of superoxide radicals	P
UniProtKB	A0A0R4IHZ8	ccs	GO:0004784	superoxide dismutase activity	F
UniProtKB	A0A0R4IHZ8	ccs	GO:0006801	superoxide metabolic process	P
UniProtKB	A0A0R4II16	psmf1	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4II16	psmf1	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4II68	zgc:154055	GO:0010507	negative regulation of autophagy	P
UniProtKB	A0A0R4II86	lef1	GO:1900052	regulation of retinoic acid biosynthetic process	P
UniProtKB	A0A0R4II86	lef1	GO:0001755	neural crest cell migration	P
UniProtKB	A0A0R4II89	cat	GO:0042744	hydrogen peroxide catabolic process	P
UniProtKB	A0A0R4II89	cat	GO:0042744	hydrogen peroxide catabolic process	P
UniProtKB	A0A0R4IIH4	fyco1a	GO:1901098	positive regulation of autophagosome maturation	P
UniProtKB	A0A0R4IIH4	fyco1a	GO:1901098	positive regulation of autophagosome maturation	P
UniProtKB	A0A0R4IIK1	babam1	GO:0045739	positive regulation of DNA repair	P
UniProtKB	A0A0R4IIN4	vps37bb	GO:0043162	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	P
UniProtKB	A0A0R4IIQ1	ubxn8	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	A0A0R4IIQ1	ubxn8	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	A0A0R4IIW4	zfand2a	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IIY5	snx7	GO:0061709	reticulophagy	P
UniProtKB	A0A0R4IIY5	snx7	GO:2000786	positive regulation of autophagosome assembly	P
UniProtKB	A0A0R4IIZ4	ptprn2	GO:0035773	insulin secretion involved in cellular response to glucose stimulus	P
UniProtKB	A0A0R4IJ26	tnrc6a	GO:0035278	miRNA-mediated gene silencing by inhibition of translation	P
UniProtKB	A0A0R4IJB1	si:dkey-74k8.3	GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	P
UniProtKB	A0A0R4IJB5	psmd4a	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	A0A0R4IJC7	yme1l1b	GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	P
UniProtKB	A0A0R4IJE0	hmgcs1	GO:0014033	neural crest cell differentiation	P
UniProtKB	A0A0R4IJF5	pam16	GO:0030150	protein import into mitochondrial matrix	P
